Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,0.00055,-0.00065,0.00085,29.06189156,8.0761595,-24.99995,12.424641,0.13309754
-1,0.00065,-0.0004,0.0006,28.02043915,9.540892,-24.846235,8.762477,0.120952403
-1,0.00025,0.00045,0.00075,27.14152145,3.6662517,-24.549385,10.979457,0.110948964
-1,-0.00025,0.00075,-0.0003,24.96602631,-3.6590593,-24.302715,-4.392246,0.07556138
-1,-0.0004,-0.00085,-0.00065,27.33831024,-5.8548565,-24.92963,-9.571695,0.10968657
-1,-0.00065,-0.0002,0.0003,26.94706345,-9.520052,-24.82715,4.373264,0.104468176
-0.8,-0.001,0,0,23.56962204,-14.357925,-18.691624,-0.013454118,0.124728011
-0.8,-0.00095,0,0,23.13402557,-13.637818,-18.686703,-0.013587475,0.119774838
-0.8,-0.0009,0,0,22.71250343,-12.917,-18.681778,-0.01374381,0.114841314
-0.8,-0.00085,0,0,22.30735588,-12.197896,-18.676971,-0.013893763,0.109947615
-0.8,-0.0008,0,0,21.91784668,-11.477928,-18.672144,-0.014062545,0.105077114
-0.8,-0.00075,0,0,21.54502106,-10.757311,-18.667297,-0.014251026,0.100236036
-0.8,-0.0007,0,0,21.19092178,-10.038097,-18.66257,-0.014457303,0.095447607
